Kd_t,Kd_c,aR,gR,dR,gT,aL_vals[0],gL,gC,gN,cis_act,cis_inh,startpeak,endpeak,peak_width,sig_change
0.1,0.1,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,71.72,0.0,,,,[0 0 0 0 0 0 0]
0.1,2.08,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,80.08,0.0,,,,[0 0 0 0 0 0 0]
0.1,4.06,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,80.31,0.0,,,,[0 0 0 0 0 0 0]
0.1,6.04,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,80.39,0.0,,,,[0 0 0 0 0 0 0]
0.1,8.02,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,80.43,0.0,,,,[0 0 0 0 0 0 0]
0.1,10.0,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,80.46,0.0,,,,[0 0 0 0 0 0 0]
2.08,0.1,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,16.04,37.52,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,71.13,0.0,,,,[0 0 0 0 0 0 0]
2.08,4.06,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,75.14,0.0,,,,[0 0 0 0 0 0 0]
2.08,6.04,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,76.62,0.0,,,,[0 0 0 0 0 0 0]
2.08,8.02,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,77.38,0.0,,,,[0 0 0 0 0 0 0]
2.08,10.0,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,77.85,0.0,,,,[0 0 0 0 0 0 0]
4.06,0.1,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,8.41,55.29,,,,[0 0 0 0 0 0 0]
4.06,2.08,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,63.82,0.0,,,,[0 0 0 0 0 0 0]
4.06,4.06,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,70.55,0.0,,,,[0 0 0 0 0 0 0]
4.06,6.04,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,73.16,0.0,,,,[0 0 0 0 0 0 0]
4.06,8.02,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,74.55,0.0,,,,[0 0 0 0 0 0 0]
4.06,10.0,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,75.41,0.0,,,,[0 0 0 0 0 0 0]
6.04,0.1,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,5.68,63.14,,,,[0 0 0 0 0 0 0]
6.04,2.08,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,57.68,0.0,,,,[0 0 0 0 0 0 0]
6.04,4.06,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,66.45,0.0,,,,[0 0 0 0 0 0 0]
6.04,6.04,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,69.99,0.0,,,,[0 0 0 0 0 0 0]
6.04,8.02,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,71.9,0.0,,,,[0 0 0 0 0 0 0]
6.04,10.0,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,73.1,0.0,,,,[0 0 0 0 0 0 0]
8.02,0.1,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,4.3,69.97,,,,[0 0 0 0 0 0 0]
8.02,2.08,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,52.41,0.0,,,,[0 0 0 0 0 0 0]
8.02,4.06,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,62.75,0.0,,,,[0 0 0 0 0 0 0]
8.02,6.04,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,67.05,0.0,,,,[0 0 0 0 0 0 0]
8.02,8.02,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,69.43,0.0,,,,[0 0 0 0 0 0 0]
8.02,10.0,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,70.93,0.0,,,,[0 0 0 0 0 0 0]
10.0,0.1,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,3.48,77.01,,,,[0 0 0 0 0 0 0]
10.0,2.08,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,47.79,0.0,,,,[0 0 0 0 0 0 0]
10.0,4.06,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,59.39,0.0,,,,[0 0 0 0 0 0 0]
