Kd_t,Kd_c,aR,gR,dR,gT,aL_vals[0],gL,gC,gN,cis_act,cis_inh,startpeak,endpeak,peak_width,sig_change
2.08,2.08,0.11,27.5947,0.01,9.902102579427789,0.0,13.8301,27.5947,0.5545177444479562,343.31,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,7.4844,0.01,9.902102579427789,0.0,13.8301,27.5947,0.5545177444479562,114.57,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,2.03,0.01,9.902102579427789,0.0,13.8301,27.5947,0.5545177444479562,36.47,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,0.5506,0.01,9.902102579427789,0.0,13.8301,27.5947,0.5545177444479562,10.5,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,27.5947,0.01,9.902102579427789,0.0,13.8301,7.4844,0.5545177444479562,396.89,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,7.4844,0.01,9.902102579427789,0.0,13.8301,7.4844,0.5545177444479562,216.69,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,2.03,0.01,9.902102579427789,0.0,13.8301,7.4844,0.5545177444479562,81.2,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,0.5506,0.01,9.902102579427789,0.0,13.8301,7.4844,0.5545177444479562,24.85,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,27.5947,0.01,9.902102579427789,0.0,13.8301,2.03,0.5545177444479562,451.17,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,7.4844,0.01,9.902102579427789,0.0,13.8301,2.03,0.5545177444479562,286.06,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,2.03,0.01,9.902102579427789,0.0,13.8301,2.03,0.5545177444479562,122.01,0.0,1.0,,,[0 0 0 0 1 1 1]
2.08,2.08,0.11,0.5506,0.01,9.902102579427789,0.0,13.8301,2.03,0.5545177444479562,39.61,0.0,1.0,,,[0 0 0 0 1 0 0]
2.08,2.08,0.11,27.5947,0.01,9.902102579427789,0.0,13.8301,0.5506,0.5545177444479562,468.56,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,7.4844,0.01,9.902102579427789,0.0,13.8301,0.5506,0.5545177444479562,313.36,0.0,10.0,,,[0 0 0 0 0 1 1]
2.08,2.08,0.11,2.03,0.01,9.902102579427789,0.0,13.8301,0.5506,0.5545177444479562,141.46,0.0,1.0,,,[0 0 0 0 1 1 1]
2.08,2.08,0.11,0.5506,0.01,9.902102579427789,0.0,13.8301,0.5506,0.5545177444479562,36.19,102.17,1.0,100.0,100.0,[ 0  0  0  0  1 -1 -1]
