Kd_t,Kd_c,aR,gR,dR,gT,aL_vals[0],gL,gC,gN,cis_act,cis_inh,startpeak,endpeak,peak_width,sig_change
1,0.1,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,29.87,1.17,,,,[0 0 0 0 0 0]
1,2.08,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,75.77,0.0,,,,[0 0 0 0 0 0]
1,4.06,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,77.88,0.0,,,,[0 0 0 0 0 0]
1,6.04,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,78.63,0.0,,,,[0 0 0 0 0 0]
1,8.02,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,79.02,0.0,,,,[0 0 0 0 0 0]
1,10.0,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,79.25,0.0,,,,[0 0 0 0 0 0]
1,0.1,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,21.71,94.2,,,,[0 0 0 0 0 0]
1,2.08,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,75.76,0.0,0.1,,,[0 0 0 1 0 0]
1,4.06,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,77.88,0.0,0.1,,,[0 0 0 1 0 0]
1,6.04,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,78.63,0.0,0.1,,,[0 0 0 1 0 0]
1,8.02,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,79.02,0.0,0.1,,,[0 0 0 1 0 0]
1,10.0,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,79.25,0.0,0.1,,,[0 0 0 1 0 0]
1,0.1,0.09,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,12.92,106.76,,,,[0 0 0 0 0 0]
1,2.08,0.09,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,75.75,0.0,0.1,,,[0 0 0 1 0 0]
1,4.06,0.09,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,77.88,0.0,0.1,,,[0 0 0 1 0 0]
1,6.04,0.09,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,78.63,0.0,0.1,,,[0 0 0 1 0 0]
1,8.02,0.09,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,79.02,0.0,0.1,,,[0 0 0 1 0 0]
1,10.0,0.09,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,79.25,0.0,0.1,,,[0 0 0 1 0 0]
1,0.1,0.11,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,12.85,108.26,,,,[0 0 0 0 0 0]
1,2.08,0.11,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,75.74,0.0,0.1,,,[0 0 0 1 0 0]
1,4.06,0.11,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,77.87,0.0,0.1,,,[0 0 0 1 1 0]
1,6.04,0.11,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,78.63,0.0,0.1,,,[0 0 0 1 1 0]
1,8.02,0.11,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,79.02,0.0,0.1,,,[0 0 0 1 1 0]
